carat,cut,price,price_per_carat
1.06,Premium,4689,
0.8,Premium,3285,
0.31,Premium,558,
2.01,Premium,12369,
1.52,Premium,8897,
1.6,Premium,11189,
0.31,Premium,435,
0.36,Premium,932,
0.71,Premium,2441,
2.31,Premium,13831,
0.32,Premium,591,
0.4,Premium,1125,
0.71,Premium,2202,
0.72,Premium,2721,
0.4,Premium,1050,
0.41,Premium,1015,
1.5,Premium,16169,
0.7,Premium,2818,
0.41,Premium,876,
1.02,Premium,4284,
0.3,Premium,776,
1.26,Premium,6068,
2,Premium,11966,
0.81,Premium,3266,
0.31,Premium,698,
0.75,Premium,2216,
1.51,Premium,7418,
0.92,Premium,3751,
1.14,Premium,5326,
2.03,Premium,18423,
1.11,Premium,4578,
0.79,Premium,2876,
1.03,Premium,4579,
1.21,Premium,6708,
0.92,Premium,3529,
1.03,Premium,6056,
0.52,Premium,1001,
0.25,Premium,740,
0.41,Premium,1148,
1.04,Premium,3261,
1.07,Premium,4440,
0.36,Premium,878,
0.6,Premium,2444,
0.3,Premium,709,
0.9,Premium,3095,
2.33,Premium,8220,
2.14,Premium,15418,
2.02,Premium,13812,
1.18,Premium,4956,
0.34,Premium,956,
2.03,Premium,16900,
0.3,Premium,789,
0.67,Premium,2171,
0.41,Premium,1079,
2.04,Premium,14605,
1.91,Premium,13092,
0.4,Premium,975,
0.36,Premium,770,
0.9,Premium,4234,
1.03,Premium,4503,
0.37,Premium,1041,
0.31,Premium,734,
0.42,Premium,992,
0.31,Premium,558,
1.01,Premium,7240,
0.4,Premium,990,
0.55,Premium,1617,
0.32,Premium,672,
0.52,Premium,1306,
2.12,Premium,13884,
1.35,Premium,10415,
1,Premium,3808,
0.26,Premium,724,
0.51,Premium,1614,
0.51,Premium,1873,
1.24,Premium,10033,
1.06,Premium,7541,
0.33,Premium,723,
0.3,Premium,1013,
0.58,Premium,2095,
0.71,Premium,2797,
0.53,Premium,1877,
1.3,Premium,6931,
1,Premium,5292,
1.5,Premium,14105,
2.07,Premium,16392,
0.77,Premium,2939,
0.71,Premium,2633,
1.07,Premium,4119,
0.3,Premium,473,
0.31,Premium,462,
1.3,Premium,5242,
0.32,Premium,828,
0.64,Premium,2074,
0.41,Premium,1295,
0.7,Premium,2319,
0.89,Premium,2815,
0.93,Premium,3646,
0.78,Premium,3494,
0.62,Premium,1823,
1.01,Premium,9711,
0.3,Premium,737,
0.51,Premium,1971,
1.52,Premium,16779,
0.3,Premium,844,
0.5,Premium,1415,
2.26,Premium,15428,
0.71,Premium,2861,
0.51,Premium,1052,
2,Premium,16031,
0.42,Premium,1087,
1,Premium,5292,
0.31,Premium,766,
0.32,Premium,900,
2.42,Premium,17168,
0.76,Premium,4150,
0.34,Premium,650,
1.01,Premium,4416,
1.72,Premium,12998,
0.91,Premium,4045,
0.7,Premium,2822,
0.22,Premium,342,
0.36,Premium,689,
0.56,Premium,1698,
1.2,Premium,4717,
2.29,Premium,17666,
0.73,Premium,2393,
1.52,Premium,6639,
0.51,Premium,2035,
0.36,Premium,789,
0.31,Premium,462,
1.01,Premium,4616,
1.07,Premium,5123,
0.7,Premium,2633,
1.08,Premium,4740,
2.55,Premium,18766,
0.3,Premium,878,
0.32,Premium,1080,
2,Premium,18371,
1.03,Premium,5101,
0.4,Premium,877,
1.2,Premium,4839,
0.31,Premium,802,
0.32,Premium,648,
0.96,Premium,3808,
0.56,Premium,1963,
1.04,Premium,3603,
0.3,Premium,710,
0.98,Premium,2064,
2.01,Premium,14752,
0.42,Premium,1024,
1.11,Premium,3692,
1.25,Premium,5925,
0.34,Premium,650,
0.34,Premium,765,
0.32,Premium,1020,
1.52,Premium,4345,
2.18,Premium,12970,
1.3,Premium,7130,
0.31,Premium,707,
0.93,Premium,2807,
0.43,Premium,1264,
0.3,Premium,552,
0.34,Premium,626,
1.07,Premium,5123,
0.41,Premium,1367,
2.07,Premium,13731,
1.24,Premium,7162,
0.41,Premium,683,
1.65,Premium,11712,
0.41,Premium,1061,
0.42,Premium,803,
1.1,Premium,3726,
0.4,Premium,807,
0.71,Premium,2208,
0.37,Premium,746,
0.74,Premium,2723,
1.03,Premium,5105,
1.7,Premium,8044,
0.3,Premium,911,
0.76,Premium,2443,
0.8,Premium,2451,
2.27,Premium,17149,
2.05,Premium,16611,
1,Premium,3790,
0.33,Premium,743,
1.05,Premium,11946,
0.72,Premium,2022,
1.23,Premium,4133,
0.41,Premium,1061,
1.1,Premium,4497,
0.41,Premium,961,
0.53,Premium,1363,
0.4,Premium,842,
1.14,Premium,4980,
0.51,Premium,1597,
0.3,Premium,1097,
0.41,Premium,1059,
0.91,Premium,5032,
1.28,Premium,6093,
0.32,Premium,645,
0.34,Premium,612,
0.33,Premium,743,
1.26,Premium,5080,
0.56,Premium,1819,
1.01,Premium,3394,
1.8,Premium,11329,
0.75,Premium,2372,
0.68,Premium,2326,
0.36,Premium,608,
0.58,Premium,1066,
0.8,Premium,3082,
0.43,Premium,882,
1.51,Premium,12756,
0.73,Premium,1971,
1,Premium,3991,
1.5,Premium,6720,
1,Premium,5645,
0.36,Premium,600,
0.56,Premium,1930,
1.1,Premium,6653,
1.01,Premium,4525,
1.08,Premium,4414,
0.71,Premium,3877,
0.9,Premium,4194,
0.7,Premium,2648,
1.11,Premium,4538,
0.34,Premium,1020,
1.02,Premium,6773,
1.5,Premium,14386,
0.3,Premium,776,
0.37,Premium,833,
1.01,Premium,4497,
1.05,Premium,4739,
0.43,Premium,1016,
0.77,Premium,2528,
0.3,Premium,1097,
0.4,Premium,1080,
0.54,Premium,1667,
0.53,Premium,2743,
1.12,Premium,2383,
0.5,Premium,840,
2.01,Premium,17057,
0.34,Premium,596,
0.87,Premium,3742,
2.01,Premium,16149,
0.38,Premium,633,
1.45,Premium,10800,
0.3,Premium,911,
0.36,Premium,608,
0.76,Premium,2287,
1.1,Premium,5088,
2.12,Premium,7508,
0.26,Premium,635,
1.07,Premium,5327,
1.01,Premium,5599,
0.3,Premium,608,
1.56,Premium,7326,
1.27,Premium,5690,
1.13,Premium,4873,
0.35,Premium,949,
0.7,Premium,2161,
1.4,Premium,8511,
0.75,Premium,2782,
0.57,Premium,2360,
1.21,Premium,5529,
0.3,Premium,731,
0.3,Premium,844,
0.74,Premium,2621,
0.71,Premium,3062,
0.97,Premium,4020,
1,Premium,4234,
0.42,Premium,992,
0.49,Premium,1179,
2.04,Premium,16426,
0.29,Premium,807,
1.07,Premium,4644,
1.05,Premium,4374,
0.45,Premium,1358,
1.55,Premium,8069,
0.7,Premium,2333,
0.31,Premium,872,
0.33,Premium,743,
0.38,Premium,641,
1.7,Premium,11257,
0.71,Premium,2388,
1.21,Premium,5218,
1.01,Premium,10147,
1.27,Premium,4580,
1.51,Premium,5767,
0.5,Premium,1000,
1.53,Premium,8205,
0.42,Premium,810,
0.69,Premium,1636,
1.22,Premium,7850,
0.95,Premium,4341,
1.19,Premium,4591,
0.31,Premium,698,
0.44,Premium,778,
1.02,Premium,5217,
1.23,Premium,8293,
1.31,Premium,7625,
1.31,Premium,5480,
0.9,Premium,3457,
0.43,Premium,981,
0.37,Premium,708,
0.55,Premium,1735,
1.01,Premium,8163,
0.31,Premium,872,
0.25,Premium,740,
1.21,Premium,8870,
1.01,Premium,6425,
1.01,Premium,8688,
0.43,Premium,1433,
0.32,Premium,720,
0.31,Premium,907,
0.75,Premium,3105,
0.55,Premium,1321,
0.3,Premium,574,
2.22,Premium,18432,
1.62,Premium,16112,
1.21,Premium,5556,
0.3,Premium,868,
0.7,Premium,2196,
1.22,Premium,10494,
0.35,Premium,827,
2.25,Premium,18007,
0.83,Premium,2613,
1.12,Premium,4065,
1.58,Premium,13132,
0.71,Premium,2765,
0.3,Premium,776,
1.2,Premium,5712,
0.74,Premium,3353,
0.31,Premium,1046,
0.52,Premium,2467,
1.02,Premium,8768,
0.42,Premium,773,
1.01,Premium,4416,
0.54,Premium,1687,
1.5,Premium,11489,
0.35,Premium,827,
1.4,Premium,7722,
1.58,Premium,14451,
2,Premium,11198,
0.38,Premium,967,
0.3,Premium,878,
1.22,Premium,3156,
1.27,Premium,5832,
0.41,Premium,827,
1.33,Premium,6790,
0.33,Premium,705,
1.01,Premium,7465,
0.96,Premium,3768,
0.57,Premium,1058,
0.75,Premium,2760,
0.32,Premium,756,
0.45,Premium,1035,
0.77,Premium,2975,
0.38,Premium,983,
1.35,Premium,6340,
0.32,Premium,990,
0.25,Premium,435,
0.51,Premium,1211,
1.9,Premium,12812,
0.57,Premium,1754,
0.4,Premium,1088,
0.57,Premium,1429,
1.21,Premium,4472,
0.3,Premium,776,
1.51,Premium,14156,
0.31,Premium,544,
1.01,Premium,4468,
0.4,Premium,982,
0.31,Premium,523,
1.03,Premium,7729,
1.59,Premium,17552,
0.5,Premium,1710,
2,Premium,15651,
0.5,Premium,1624,
1.12,Premium,10028,
1,Premium,4390,
0.7,Premium,2375,
0.91,Premium,2700,
0.33,Premium,743,
0.32,Premium,758,
0.42,Premium,958,
1.27,Premium,5761,
0.44,Premium,772,
0.42,Premium,773,
1.08,Premium,4318,
0.97,Premium,4400,
0.34,Premium,765,
2.07,Premium,13786,
0.41,Premium,1153,
1.21,Premium,4968,
0.65,Premium,2510,
2.09,Premium,13212,
0.83,Premium,2990,
0.59,Premium,1835,
1.01,Premium,5202,
0.3,Premium,844,
1.57,Premium,11470,
1.57,Premium,10930,
0.38,Premium,1140,
0.74,Premium,2042,
0.77,Premium,3966,
1.21,Premium,4675,
1.41,Premium,8572,
0.92,Premium,4011,
0.52,Premium,2970,
1.66,Premium,8487,
0.9,Premium,3473,
0.7,Premium,1724,
1.5,Premium,11194,
0.43,Premium,1016,
0.71,Premium,2127,
0.41,Premium,683,
0.31,Premium,698,
1.29,Premium,8597,
1.21,Premium,6722,
0.3,Premium,574,
0.46,Premium,863,
1.01,Premium,6499,
1.07,Premium,5033,
0.32,Premium,758,
1.47,Premium,7573,
0.9,Premium,2861,
1.52,Premium,8426,
2.32,Premium,14666,
1.14,Premium,4513,
0.82,Premium,3159,
0.53,Premium,1957,
0.75,Premium,1958,
0.42,Premium,847,
0.4,Premium,1088,
1.02,Premium,4043,
0.41,Premium,827,
0.7,Premium,2367,
0.31,Premium,872,
1,Premium,5544,
1.33,Premium,5288,
2.43,Premium,14727,
0.71,Premium,2306,
0.31,Premium,1167,
0.38,Premium,633,
1.01,Premium,6968,
0.38,Premium,1117,
1.28,Premium,5376,
0.91,Premium,3898,
1.02,Premium,8774,
0.71,Premium,2711,
0.51,Premium,1687,
1.02,Premium,6909,
0.72,Premium,2666,
1.61,Premium,9961,
0.56,Premium,1915,
0.3,Premium,658,
0.41,Premium,1056,
0.31,Premium,698,
1,Premium,6352,
0.42,Premium,1179,
0.9,Premium,4562,
1.01,Premium,3014,
2.11,Premium,15198,
0.7,Premium,3410,
0.5,Premium,2525,
0.3,Premium,574,
0.37,Premium,551,
0.33,Premium,666,
1.01,Premium,5741,
0.37,Premium,692,
2.37,Premium,14837,
0.31,Premium,877,
0.52,Premium,1707,
2.01,Premium,15475,
0.32,Premium,828,
1.51,Premium,7441,
0.3,Premium,844,
1.07,Premium,4764,
0.32,Premium,1044,
0.57,Premium,1590,
0.33,Premium,631,
1.01,Premium,6827,
1.5,Premium,11863,
1.22,Premium,4735,
1.01,Premium,4242,
0.93,Premium,4834,
1.06,Premium,5642,
0.49,Premium,1261,
0.5,Premium,1684,
0.42,Premium,921,
0.77,Premium,1792,
0.7,Premium,2364,
0.32,Premium,561,
0.44,Premium,1063,
0.58,Premium,1636,
1.05,Premium,4557,
0.71,Premium,2329,
0.31,Premium,698,
0.42,Premium,1031,
0.51,Premium,1546,
0.34,Premium,880,
1.05,Premium,3898,
1.5,Premium,8580,
0.71,Premium,2381,
0.3,Premium,554,
0.31,Premium,930,
1.01,Premium,4242,
0.55,Premium,1698,
1.01,Premium,6441,
1.77,Premium,9664,
0.73,Premium,3211,
0.33,Premium,743,
1.3,Premium,6806,
1.71,Premium,14882,
1,Premium,5544,
0.9,Premium,4082,
0.73,Premium,2527,
0.9,Premium,3629,
2.09,Premium,13119,
0.37,Premium,957,
1,Premium,4398,
0.77,Premium,3291,
0.34,Premium,880,
1.01,Premium,3801,
0.66,Premium,2861,
2,Premium,17835,
0.36,Premium,726,
0.9,Premium,3445,
0.32,Premium,648,
1.75,Premium,12529,
0.5,Premium,1666,
0.7,Premium,1817,
1.6,Premium,11926,
0.33,Premium,608,
0.3,Premium,673,
0.31,Premium,872,
1.11,Premium,4196,
1.7,Premium,7140,
1.04,Premium,6890,
0.33,Premium,1010,
1.07,Premium,3545,
1.51,Premium,17936,
2.1,Premium,12308,
2.09,Premium,17156,
1.11,Premium,3263,
0.9,Premium,3484,
1,Premium,5197,
1.31,Premium,5282,
1.53,Premium,8688,
0.6,Premium,835,
1.2,Premium,6055,
1.02,Premium,6397,
0.54,Premium,1786,
0.36,Premium,1013,
1.44,Premium,4064,
0.7,Premium,2535,
1.5,Premium,11007,
1,Premium,5387,
1.2,Premium,5040,
0.7,Premium,2792,
0.91,Premium,3475,
0.43,Premium,993,
0.77,Premium,3218,
0.35,Premium,949,
0.33,Premium,780,
2.21,Premium,6535,
0.4,Premium,945,
1.52,Premium,9952,
1.52,Premium,12047,
0.41,Premium,961,
0.3,Premium,945,
0.72,Premium,2646,
1.13,Premium,4430,
2.14,Premium,17038,
0.5,Premium,1746,
1.13,Premium,5316,
0.71,Premium,2790,
1.02,Premium,4284,
0.31,Premium,802,
0.31,Premium,801,
0.34,Premium,765,
0.71,Premium,3002,
0.55,Premium,1645,
0.7,Premium,2222,
0.41,Premium,1015,
2.28,Premium,18055,
0.77,Premium,3357,
0.7,Premium,2657,
0.33,Premium,579,
0.61,Premium,1359,
1.51,Premium,4404,
0.3,Premium,710,
1.1,Premium,4650,
0.5,Premium,965,
0.57,Premium,1847,
0.31,Premium,942,
0.32,Premium,648,
0.41,Premium,863,
1.23,Premium,7431,
1.74,Premium,8653,
0.5,Premium,1624,
0.39,Premium,1009,
1.52,Premium,14293,
0.8,Premium,2935,
1.12,Premium,4277,
0.31,Premium,907,
0.53,Premium,1132,
0.77,Premium,1996,
1.4,Premium,12401,
0.37,Premium,957,
0.41,Premium,604,
0.48,Premium,1323,
0.5,Premium,1629,
0.52,Premium,2012,
0.5,Premium,1935,
1.03,Premium,7919,
0.5,Premium,1614,
0.82,Premium,2962,
0.4,Premium,631,
0.5,Premium,2081,
0.55,Premium,3006,
0.3,Premium,776,
0.71,Premium,2352,
0.7,Premium,2264,
1,Premium,4805,
1.16,Premium,6366,
0.34,Premium,574,
0.55,Premium,1881,
1.73,Premium,13221,
1.52,Premium,8258,
1.21,Premium,4879,
0.43,Premium,963,
0.75,Premium,3486,
0.7,Premium,2737,
0.73,Premium,3620,
0.54,Premium,1356,
0.8,Premium,3285,
1.01,Premium,4955,
0.33,Premium,797,
0.9,Premium,3387,
0.4,Premium,765,
1.08,Premium,4627,
1.09,Premium,3968,
0.55,Premium,1316,
0.35,Premium,984,
1.21,Premium,6566,
2.05,Premium,17988,
1.02,Premium,5089,
1,Premium,3712,
0.31,Premium,732,
0.62,Premium,1253,
1.07,Premium,4494,
0.89,Premium,2955,
1,Premium,4626,
1.2,Premium,7795,
1.23,Premium,6957,
2.05,Premium,9850,
1,Premium,6608,
1.01,Premium,6533,
1,Premium,10134,
0.5,Premium,1431,
0.36,Premium,852,
1.23,Premium,6038,
0.93,Premium,4448,
1.24,Premium,5311,
0.33,Premium,743,
0.7,Premium,2513,
0.36,Premium,648,
1.58,Premium,10934,
1.51,Premium,14844,
1.23,Premium,11534,
0.41,Premium,1015,
0.64,Premium,2870,
1.01,Premium,2781,
0.41,Premium,1061,
0.32,Premium,345,
0.33,Premium,723,
0.43,Premium,830,
0.4,Premium,1080,
0.61,Premium,1800,
1.01,Premium,6488,
2.04,Premium,14660,
0.9,Premium,3568,
0.31,Premium,435,
1.11,Premium,5408,
0.79,Premium,3089,
0.34,Premium,596,
0.33,Premium,666,
1.12,Premium,4798,
0.79,Premium,4490,
0.3,Premium,814,
0.52,Premium,1911,
1.1,Premium,4004,
1.01,Premium,4395,
0.5,Premium,1581,
1.13,Premium,5179,
0.53,Premium,1607,
0.32,Premium,645,
1.03,Premium,5249,
0.5,Premium,1172,
0.3,Premium,675,
0.34,Premium,727,
0.75,Premium,2394,
1.55,Premium,10277,
1.22,Premium,5643,
0.4,Premium,1035,
0.41,Premium,818,
0.5,Premium,1814,
1.7,Premium,9330,
1.51,Premium,11565,
1.12,Premium,4084,
0.3,Premium,878,
1.02,Premium,4633,
0.51,Premium,1402,
1.01,Premium,3899,
0.3,Premium,473,
1.02,Premium,6683,
0.71,Premium,2853,
1.25,Premium,3751,
1.34,Premium,7305,
0.3,Premium,675,
1.2,Premium,5699,
0.43,Premium,1129,
1.03,Premium,7817,
0.7,Premium,2196,
1.02,Premium,6479,
0.74,Premium,2744,
1.02,Premium,7101,
0.54,Premium,1240,
1.09,Premium,6951,
1.15,Premium,4959,
2.4,Premium,16304,
1.52,Premium,8299,
0.47,Premium,1244,
0.92,Premium,3932,
1.03,Premium,5523,
0.31,Premium,625,
0.34,Premium,995,
1.36,Premium,5856,
1.22,Premium,7059,
0.33,Premium,579,
0.71,Premium,2364,
0.3,Premium,574,
1.59,Premium,7811,
0.71,Premium,2386,
1.52,Premium,9193,
0.56,Premium,2167,
0.73,Premium,2519,
1.64,Premium,14201,
1.14,Premium,5548,
0.76,Premium,2491,
0.33,Premium,579,
0.42,Premium,626,
1.61,Premium,14833,
2.43,Premium,9716,
1.72,Premium,18730,
1.52,Premium,8631,
1.4,Premium,6147,
0.3,Premium,709,
1.22,Premium,7395,
0.51,Premium,2346,
0.3,Premium,473,
0.33,Premium,631,
1.52,Premium,10078,
2.06,Premium,12842,
1.22,Premium,6354,
0.3,Premium,709,
1.5,Premium,13680,
0.96,Premium,2961,
2.2,Premium,13065,
0.3,Premium,878,
0.4,Premium,855,
1,Premium,6868,
0.92,Premium,3916,
1.4,Premium,13730,
1.03,Premium,5744,
0.91,Premium,2461,
1.14,Premium,5458,
1,Premium,6296,
0.51,Premium,1709,
1.01,Premium,8286,
2.09,Premium,18443,
1.03,Premium,7677,
0.78,Premium,2816,
0.9,Premium,2873,
1.51,Premium,8574,
0.8,Premium,2762,
1.23,Premium,8971,
0.41,Premium,683,
0.27,Premium,603,
1.33,Premium,7090,
0.52,Premium,1815,
0.31,Premium,544,
1,Premium,8124,
1.66,Premium,14224,
1.06,Premium,4920,
1.07,Premium,6644,
0.37,Premium,957,
0.34,Premium,995,
0.44,Premium,990,
0.71,Premium,1883,
0.32,Premium,524,
1,Premium,4200,
0.43,Premium,919,
0.71,Premium,2743,
0.7,Premium,2703,
0.76,Premium,2425,
0.55,Premium,1134,
1.82,Premium,13813,
0.48,Premium,960,
0.38,Premium,1000,
0.71,Premium,2571,
1.12,Premium,4478,
0.57,Premium,1949,
1.02,Premium,7602,
2.23,Premium,12770,
1.72,Premium,13609,
1.08,Premium,4476,
1.24,Premium,5969,
0.34,Premium,956,
1.79,Premium,12985,
0.7,Premium,2444,
0.33,Premium,492,
0.51,Premium,1343,
0.75,Premium,2622,
0.35,Premium,919,
1.05,Premium,5659,
0.35,Premium,669,
1.64,Premium,8835,
0.71,Premium,2863,
0.7,Premium,2887,
0.41,Premium,1076,
1.01,Premium,5780,
0.34,Premium,765,
1.53,Premium,7608,
1.14,Premium,5809,
0.42,Premium,552,
0.53,Premium,1141,
0.56,Premium,1814,
1.32,Premium,11177,
0.5,Premium,1436,
0.74,Premium,2532,
1.54,Premium,11663,
1,Premium,4155,
0.74,Premium,2042,
0.44,Premium,1003,
2.01,Premium,12423,
0.62,Premium,1291,
1.5,Premium,8770,
1,Premium,5500,
